,dataset,fold,roc_auc,accuracy,models
53,Australian,4,0.9303904923599322,0.8260869565217391,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='f7650e88-efab-4cb5-888f-46bd9831af7a')"
54,Australian,5,0.967741935483871,0.8985507246376812,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='86cbf7b3-1ab5-4ff3-9773-e4edb3128c09')"
55,Australian,6,0.966044142614601,0.8985507246376812,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='d095ef81-9024-4cf6-9e50-02bc33581677')"
56,Australian,7,0.9006791171477079,0.8405797101449275,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='66be4abc-ee18-44d9-b87c-752ee302a50b')"
57,Australian,8,0.9222222222222222,0.7536231884057971,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='9ad27cc8-0d7e-476e-b468-200ea2b268ea')"
58,Australian,9,0.9547008547008546,0.8985507246376812,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='6fc4594a-b70f-44d2-b263-d344e29f3256')"
59,Australian,10,0.9384615384615385,0.8405797101449275,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300,
                       tmp_folder='f36bfc72-34cb-4073-80c5-9edac2dd07af')"
60,kc1,1,0.8447101955307262,0.8720379146919431,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300)"
61,kc1,2,0.8327513966480447,0.8862559241706162,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300)"
62,kc1,3,0.8523917597765363,0.8436018957345972,"AutoSklearn2Classifier(memory_limit=None, metric=roc_auc, n_jobs=-1,
                       per_run_time_limit=60, time_left_for_this_task=300)"
